Make,Model,Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Vehicle Class_COMPACT,Vehicle Class_FULL-SIZE,Vehicle Class_MID-SIZE,Vehicle Class_MINICOMPACT,Vehicle Class_MINIVAN,Vehicle Class_PICKUP TRUCK - SMALL,Vehicle Class_PICKUP TRUCK - STANDARD,Vehicle Class_SPECIAL PURPOSE VEHICLE,Vehicle Class_STATION WAGON - MID-SIZE,Vehicle Class_STATION WAGON - SMALL,Vehicle Class_SUBCOMPACT,Vehicle Class_SUV - SMALL,Vehicle Class_SUV - STANDARD,Vehicle Class_TWO-SEATER,Vehicle Class_VAN - CARGO,Vehicle Class_VAN - PASSENGER,Transmission_A10,Transmission_A4,Transmission_A5,Transmission_A6,Transmission_A7,Transmission_A8,Transmission_A9,Transmission_AM5,Transmission_AM6,Transmission_AM7,Transmission_AM8,Transmission_AM9,Transmission_AS10,Transmission_AS4,Transmission_AS5,Transmission_AS6,Transmission_AS7,Transmission_AS8,Transmission_AS9,Transmission_AV,Transmission_AV10,Transmission_AV6,Transmission_AV7,Transmission_AV8,Transmission_M5,Transmission_M6,Transmission_M7,Fuel Type_D,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z,EngineSize_Cylinders,CO2 Emissions Category
ACURA,ILX,-0.851086201165638,-0.8769341163215539,9.9,6.7,-0.8544903781995579,33,-0.9303718371675024,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8.0,Low
ACURA,ILX,-0.5580657988515988,-0.8769341163215539,11.2,7.7,-0.4811839724644082,29,-0.5086850396484295,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,9.6,Medium
ACURA,ILX HYBRID,-1.2173617040581872,-0.8769341163215539,6.0,5.8,-1.7368509735735482,48,-1.9424201512132773,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,6.0,Low
ACURA,MDX 4WD,0.24774030751200957,0.20642873888631294,12.7,9.1,0.027870217174432513,25,0.06480900497750965,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,21.0,Medium
ACURA,RDX AWD,0.24774030751200957,0.20642873888631294,12.1,8.7,-0.14181451270518106,27,-0.12073318593088242,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,21.0,Medium
ACURA,RLX,0.24774030751200957,0.20642873888631294,11.9,7.7,-0.34543618856071723,28,-0.35687779254156327,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,21.0,Medium
ACURA,TL,0.24774030751200957,0.20642873888631294,11.8,8.1,-0.3114992425847946,28,-0.3231428487400374,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,21.0,Medium
ACURA,TL AWD,0.3942505086690294,0.20642873888631294,12.8,9.0,0.027870217174432513,25,0.06480900497750965,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,22.200000000000003,Medium
ACURA,TL AWD,0.3942505086690294,0.20642873888631294,13.4,9.5,0.19755494705404608,24,0.26721866778666464,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,22.200000000000003,Medium
ACURA,TSX,-0.5580657988515988,-0.8769341163215539,10.6,7.5,-0.6169317563680992,31,-0.6604922867552957,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9.6,Medium
ACURA,TSX,-0.5580657988515988,-0.8769341163215539,11.2,8.1,-0.4133100805125624,29,-0.4412151520453778,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,9.6,Medium
ACURA,TSX,0.24774030751200957,0.20642873888631294,12.1,8.3,-0.20968840465702623,27,-0.205070545434697,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,21.0,Medium
ALFA ROMEO,4C,-0.9975964023226577,-0.8769341163215539,9.7,6.9,-0.8884273241754804,34,-0.9809742528697911,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7.2,Low
ASTON MARTIN,DB9,2.005862721396246,3.4565173045099136,18.0,12.6,1.5550327860909545,18,1.819026082656853,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,70.80000000000001,High
ASTON MARTIN,RAPIDE,2.005862721396246,3.4565173045099136,18.0,12.6,1.5550327860909545,18,1.819026082656853,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,70.80000000000001,High
ASTON MARTIN,V8 VANTAGE,1.1268015144541277,1.2897915940941798,17.4,11.3,1.24960027230765,19,1.4648091727408317,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,37.6,High
ASTON MARTIN,V8 VANTAGE,1.1268015144541277,1.2897915940941798,18.1,12.2,1.4871588941391094,18,1.7346887231530383,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,37.6,High
ASTON MARTIN,V8 VANTAGE S,1.1268015144541277,1.2897915940941798,17.4,11.3,1.24960027230765,19,1.4648091727408317,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,37.6,High
ASTON MARTIN,V8 VANTAGE S,1.1268015144541277,1.2897915940941798,18.1,12.2,1.4871588941391094,18,1.7346887231530383,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,37.6,High
ASTON MARTIN,VANQUISH,2.005862721396246,3.4565173045099136,18.0,12.6,1.5550327860909545,18,1.819026082656853,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,70.80000000000001,High
